Time, Collision Type, Object Tag
5.86, Trigger, Goal
10.92, Trigger, StartPoint
20.88, Trigger, Goal
25.88, Trigger, StartPoint
31.64, Trigger, Wall
33.6, Trigger, Wall
39.02, Trigger, Goal
42.78, Trigger, StartPoint
48.24, Trigger, Wall
48.62, Trigger, Wall
51.56, Trigger, Wall
52.1, Trigger, Wall
55.38, Trigger, Wall
60.1, Trigger, Wall
61.7, Trigger, Wall
64.06, Trigger, Wall
67.22, Trigger, Wall
70.93999, Trigger, Wall
74.93999, Trigger, Wall
75.2, Trigger, Wall
88.72, Trigger, Wall
90.34, Trigger, Wall
93.8, Trigger, Goal
102.28, Trigger, StartPoint
111.14, Trigger, Wall
112.48, Trigger, Wall
113.04, Trigger, Wall
115.5, Trigger, Wall
117.64, Trigger, Wall
118.06, Trigger, Wall
124.5, Trigger, Wall
124.5, Trigger, Wall
126.38, Trigger, Goal
