Time, Collision Type, Object Tag
0, Trigger, StartPoint
3.24, Trigger, Wall
6.74, Trigger, Wall
8.7, Trigger, Wall
9.02, Trigger, Wall
9.46, Trigger, Wall
14.82, Trigger, Wall
16.58, Trigger, Wall
16.6, Trigger, Wall
18.48, Trigger, Wall
20.24, Trigger, Goal
0, Trigger, StartPoint
5.04, Trigger, Goal
0, Trigger, StartPoint
5.84, Trigger, Invisible
14.1, Trigger, Invisible
16.26, Trigger, Invisible
24.28, Trigger, Invisible
26.78, Trigger, Goal
0, Trigger, StartPoint
4.04, Trigger, Invisible
5.96, Trigger, Invisible
17.2, Trigger, VisualGhost
22.82, Trigger, VisualGhost
24.18, Trigger, FalseGoal
25.38, Trigger, VisualGhost
30.08, Trigger, Goal
